ticket_time,user_id,channel,topic,resolution_time_hours,state,comments
2025-06-13 05:55:17.154573,10125,chat,technical,11.48,1,
2025-08-06 13:21:54.539551,10109,chat,account,1.01,0,
2025-08-22 12:39:35.718663,10149,chat,technical,10.09,0,Erase my data from your systems.
2025-06-07 02:49:46.986055,10268,phone,account,9.1,1,
2025-07-25 00:24:38.945079,10041,phone,other,2.28,1,
2025-08-19 03:23:03.240394,10066,phone,technical,0.53,1,
2025-06-21 10:43:43.611033,10236,-,other,6.98,0,
2025-07-10 05:00:47.982273,10121,chat,billing,0.64,1,
2025-10-24 13:48:00.892191,10113,chat,account,19.03,1,
2025-07-01 00:12:39.058204,10057,phone,account,10.66,1,
2025-06-30 11:03:41.049703,10077,email,billing,9.29,1,
2025-10-02 08:34:09.503837,10177,-,account,7.71,0,
2025-09-05 10:24:54.220794,10133,phone,other,6.75,1,
2025-07-31 20:37:27.470523,10366,email,billing,2.08,0,
2025-06-16 03:23:35.671086,10352,-,account,10.32,1,
2025-07-30 21:08:55.174648,10324,-,account,21.79,0,
2025-10-06 16:54:05.481872,10354,email,other,10.24,1,
2025-10-19 14:29:37.945153,10052,phone,other,28.24,1,
2025-09-21 07:46:37.574266,10245,phone,billing,3.97,1,
2025-11-18 13:35:54.625982,10302,chat,billing,18.18,0,
2025-08-08 12:19:18.597266,10108,phone,technical,12.34,0,
2025-10-08 03:08:35.179265,10300,chat,other,11.37,1,
2025-07-14 12:44:52.551881,10258,email,account,19.43,0,
2025-09-02 23:28:28.277349,10009,phone,other,5.54,0,
2025-06-12 18:44:55.833881,10163,phone,other,21.95,1,
2025-06-27 21:54:43.102436,10081,chat,other,4.5,1,
2025-07-18 01:17:26.468153,10009,phone,other,8.56,1,
2025-07-19 07:20:02.031251,10374,phone,billing,18.06,1,
2025-09-16 19:52:04.592513,10326,phone,account,10.27,0,
2025-08-23 18:03:14.560943,10083,chat,billing,5.59,1,
2025-08-30 05:52:37.871637,10025,phone,other,6.67,1,
2025-09-25 02:41:02.287230,10028,chat,technical,0.98,1,
2025-07-15 09:40:42.631879,10117,chat,other,11.63,1,Request full personal data deletion.
2025-07-22 10:01:24.925661,10363,chat,technical,17.49,0,
2025-06-25 06:56:33.030473,10260,phone,other,2.88,0,
2025-10-17 18:27:14.213377,10095,email,technical,6.55,1,
2025-07-06 11:45:41.850113,10193,phone,other,4.73,0,
2025-10-12 04:13:34.438970,10185,email,other,6.43,0,
2025-10-11 09:41:09.227380,10086,email,billing,18.74,1,
2025-10-06 13:36:20.025866,10038,phone,account,16.97,0,Wipe all data you hold.
2025-06-12 11:16:24.017320,10186,email,billing,1.63,0,
2025-10-10 11:37:33.739146,10060,email,other,10.44,0,
2025-09-14 03:33:28.384180,10115,phone,account,20.87,1,
2025-10-10 10:41:23.292117,10385,phone,billing,16.85,1,
2025-07-09 06:57:56.411001,10044,email,account,6.72,1,
2025-07-01 18:41:07.866573,10366,chat,technical,7.6,0,
2025-07-04 10:54:13.363263,10103,-,technical,9.64,1,
2025-08-16 16:13:22.707098,10289,chat,billing,25.54,0,
2025-07-21 16:19:31.728210,10002,chat,other,1.61,1,
2025-10-08 18:55:59.684093,10007,-,other,23.3,1,
2025-06-25 23:22:58.282300,10119,chat,account,22.17,1,
2025-08-15 09:53:44.474359,10272,chat,billing,4.21,1,
2025-11-21 01:31:18.933091,10055,chat,technical,6.0,1,
2025-08-04 04:16:02.534661,10045,chat,account,6.97,1,
2025-08-02 19:56:19.533201,10139,email,account,5.12,1,
2025-11-20 01:19:22.826529,10097,phone,technical,10.63,1,
2025-10-08 09:55:03.480092,10001,email,other,26.44,0,
2025-10-22 11:25:26.753696,10063,phone,billing,13.48,1,
2025-09-07 23:46:39.999015,10231,chat,billing,8.11,1,
2025-07-17 04:38:47.724818,10115,chat,billing,20.07,1,
2025-08-23 19:01:54.338067,10309,phone,other,10.73,1,
2025-11-28 00:22:23.997996,10348,chat,account,8.61,0,
2025-08-21 07:58:57.230357,10252,chat,account,26.4,1,
2025-06-21 17:16:01.162672,10208,email,billing,6.08,0,
2025-07-23 16:42:35.258903,10335,phone,account,12.37,1,
2025-10-15 08:52:21.700391,10138,email,account,8.31,0,
2025-09-24 11:38:45.220634,10276,email,account,11.45,0,
2025-08-06 13:51:10.949357,10121,email,other,8.26,1,
2025-07-14 12:40:31.173102,10306,phone,account,5.14,0,
